212.1.116.1, None, [6846], {12593, 6846}, 237.0
129.250.2.71, None, [2914], {2914}, 231.98958333333334
210.9.31.26, None, [2764], {2764}, 41.0
150.222.241.86, None, [0], {0}, 238.25
91.243.43.19, None, [202023], {9002, 16509, 202023}, 44.58701298701299
52.93.134.156, None, [0], {0}, 242.0
14.0.9.69, None, [55391], {16509, 55391}, 254.0
2001:1900:5:2:2::3bca, None, [3356], {39537, 3356}, 46.0
193.110.68.40, None, [33808], {33808, 16509, 50533}, 39.82092772384035
2001:1ac0:0:200:0:a5d1:6004:1, None, [16004], set(), nan
52.95.52.251, None, [0], {0}, 239.5
2001:978:2:4c::12:2, None, [174], {35733, 174}, 50.0
54.239.46.9, 16509, [0], {0, 16509}, 232.0
52.93.134.63, None, [0], {0}, 241.68627450980392
2a01:68c0:0:3:1::1, None, [35168], {35168, 21282, 35566, 3216, 31133}, 44.932721712538225
213.207.8.148, None, [24785], {24785, 6939, 43414}, 231.66666666666666
2804:800:0:4000:8000:0:6442:9c, None, [16509], {16509}, 63.0
79.125.1.80, None, [16509], set(), nan
100.91.20.90, None, [0], {0}, 238.0
2001:550:0:1000::9a19:6da, None, [174], {174}, 45.95906432748538
100.100.4.24, None, [0], {0}, 236.0
2a01:578:0:4102:8000:0:6442:27, None, [16509], {16509}, 62.0
100.91.10.139, None, [0], {0}, 230.0
184.105.64.102, 6939, [6939], {6939}, 48.54523922311701
95.167.95.43, 12389, [12389], {6762, 12389}, 231.96875
85.95.25.90, 15412, [15412], {15412}, 238.0
41.222.138.5, 37049, [37049], {37049}, 47.0
172.112.11.50, None, [20001], set(), nan
2804:800:0:4000:8000:0:6442:b8, None, [16509], {16509}, 63.0
2a00:5380:1337::1, None, [25509], {16509, 25509, 174}, 49.21875
207.219.229.101, 174, [852], {0, 852}, 238.0
100.91.191.49, None, [0], {0}, 223.0
54.239.43.99, 16509, [0], {0, 16509}, 241.0
52.93.18.96, None, [0], {0}, 237.0
2408:8000:2:70c::, None, [4837], {4837, 701}, 40.5
150.222.1.55, None, [0], {0, -84}, 241.0
2001:504:13::210:63, None, [-162], {7473, 7474, 6939, -162}, 43.99308755760369
52.93.4.27, None, [0], {0}, 240.99412258606213
193.251.241.242, 5511, [0], {0}, 239.0
193.170.114.241, 1853, [1853], {-816, 3356, 1853}, 41.68408551068884
100.91.159.79, None, [0], {0}, 233.09448818897638
150.222.1.53, None, [0], {0, -84}, 241.0
54.239.53.60, 38895, [16509], {0, 16509}, 241.7916053019146
2a01:578:0:4006:8000:0:6442:4ef, None, [16509], {16509}, 60.0
100.91.41.66, None, [0], {0, 16509}, 220.0
52.93.131.161, None, [0], {0}, 238.88888888888889
2001:688:0:2:3::d, None, [5511], {5511}, 48.0
2a01:578:0:4006:8000:0:6442:78b, None, [16509], {16509}, 61.0
52.93.143.127, None, [0], {0}, 246.0
100.91.207.143, None, [0], {0}, 235.5
2001:7f8:1::a500:3327:1, None, [-150], {-150, 6939, 3327}, 41.97872340425532
52.93.141.134, None, [0], {0}, 245.0
100.65.24.192, None, [0], {0, 16509}, 254.0
67.16.146.133, 4323, [3549], {3549}, 235.5
2a03:2040:0:6:1::76, None, [198385], {198385, -285, -207}, 45.49086161879895
52.93.18.142, None, [0], {0}, 240.0
200.143.252.66, 1916, [0], {0, -668}, 235.53125
4.35.171.66, 3833, [3356], {3833, 3356}, 231.0
81.228.91.140, 3301, [3301], {1299, 3301}, 233.96875
2a02:e0:311f:7::1, None, [0], {0, 6762, 34984}, 45.0
83.169.180.154, None, [31334], {31334}, 44.0
2403:e800:ff00:110::20, None, [4637], {16509, 4637}, 48.21568627450981
52.93.246.72, None, [0], {0}, 243.0
100.91.0.47, None, [0], {0, 16509}, 239.0
52.93.11.77, 38895, [0], {0}, 239.0
27.111.228.91, 35819, [-254], {0, -254, 35819}, 227.0
240e:1::1, None, [17897], {17897}, 37.0
2404:138:39:8::2, None, [38022], {681, 38022}, 39.601941747572816
2a01:578:0:4009:8000:0:6442:66b, None, [16509], {16509}, 60.666666666666664
2620:4:4000:ffff::6, None, [53819], {5650, 53819}, 41.0
2001:2000:3018:8c::1, None, [1299], set(), nan
2a01:578:0:4200:8000:0:6442:dc, None, [16509], {16509}, 63.0
195.250.60.125, None, [198228], {34224, 198228, 16509, 12615}, 45.24888226527571
100.66.0.156, None, [0], {0, 16509}, 254.0
176.52.248.117, None, [12956], {12956}, 244.0
83.97.88.138, 2602, [21320], {21320, 2602}, 238.03225806451613
2001:668:0:3::8000:3621, None, [3257], set(), nan
52.119.155.236, None, [0], {0, 1267}, 241.0
62.214.38.174, 8881, [8881], {8881}, 244.0
216.182.237.221, None, [16509], set(), nan
54.239.52.83, 38895, [16509], {0, 3491, -396, 16509}, 249.4857142857143
2001:1900:5:2:2::1d1a, None, [3356], {553, 3356}, 40.0
2001:b28::1:1d, None, [42065], {42065}, 49.0
2001:668:0:3:ffff:0:45ae:c25, None, [3257], set(), nan
52.93.144.85, None, [0], {0, 1299}, 243.0
209.148.235.229, 812, [812], {812}, 233.0
100.91.18.247, None, [0], {0}, 242.0
2607:f740:15:22::2, None, [36236], {36236}, 40.291666666666664
107.150.129.65, None, [14745], {14745}, 237.0
58.138.88.14, 2497, [2497], {2497}, 238.0
2001:2000:3018:56::1, None, [1299], {1299}, 50.0
80.81.192.181, 50533, [-207], {-207, 6939, 50533}, 231.33333333333334
2404:a800::136, None, [9498], {9498, -437}, 49.75
2a01:3e0:ff20::9d, None, [6453], {16509, 6453}, 55.0
100.91.12.224, None, [0], {0}, 230.3613445378151
221.183.22.130, 9808, [9808], {9808}, 231.0
17.253.15.205, None, [6185], {6185, 714}, 50.0
141.136.110.154, 4436, [3257], {3257}, 233.0
52.93.146.14, None, [0], {0, 16509}, 243.0
52.95.36.72, None, [0], {0}, 243.74074074074073
180.87.38.49, None, [6453], {133372, 6453}, 235.0
