2404:8e01:feed:ff00::b, None, [55392], set(), nan
77.47.130.161, None, [25500], set(), nan
2a02:4460::3, None, [202032], set(), nan
2a04:f340:c0:ffff:1::1, None, [8758], set(), nan
185.78.48.10, None, [201333], set(), nan
2001:4860:1:1:0:201c:0:8, None, [15169], {15169, 8220}, 58.0
2001:dd8:25:7::1, None, [45494], set(), nan
2001:550:0:1000::9a36:2a5a, None, [174], {174, 42207}, 56.0
10.1.1.2, None, [0], set(), nan
195.3.74.109, 8447, [8447], set(), nan
2001:f40:0:2::1a9, None, [9930], set(), nan
2a01:66c0::1:103, None, [58308], set(), nan
108.170.247.140, 36384, [15169], {0, 15169}, 245.32
172.23.235.130, None, [0], set(), nan
108.170.233.244, None, [15169], {15169}, 247.0
52.93.250.8, None, [0], {0, 16509}, 236.26666666666668
125.141.249.141, None, [4766], set(), nan
64.125.30.247, 6461, [6461], {15169, 6461}, 244.0
2001:4860::9:4000:e50c, None, [15169], {15169}, 62.0
2001:504:3d:1:0:a500:6994:1, None, [-4], {6994, 6939, -4}, 58.0
2001:1a48:0:3::92, None, [25512], {25512}, 61.0
98.124.184.198, None, [3257], {3257}, 243.0
72.14.232.107, 15169, [15169], {15169}, 251.0
66.249.95.247, 15169, [15169], {15169}, 56.0
23.255.225.180, 3356, [16591], {16591}, 250.98
10.1.8.254, None, [0], set(), nan
31.169.103.85, None, [62059], {15169, 62059}, 62.0
108.170.244.168, None, [15169], {15169, 8218, 44788}, 247.84615384615384
2a01:e00:30::2, None, [12322], {15169, 12322}, 61.0
69.22.130.89, None, [3257], set(), nan
74.125.242.241, None, [15169], {0, 15169, 29834, -75}, 59.06666666666667
64.86.113.5, 6453, [6453], {6453, 12989}, 247.0
68.1.1.167, 22773, [22773], {22773}, 248.95833333333334
10.11.16.1, None, [0], set(), nan
2a00:1450:8070::1, None, [15169], {15169, 5607}, 214.27906976744185
194.187.172.101, 35574, [35574], set(), nan
2001:268:fa02:159::1, None, [2516], {15169, 2516}, 59.0
196.49.15.189, None, [37386], {37386, -805}, 45.74418604651163
2001:5a0:600:500::16, None, [6453], {6453}, 53.0
92.122.193.241, None, [20940], {15169, 20940}, 246.0
216.250.189.189, 7753, [7753], set(), nan
91.198.174.131, None, [14907], set(), nan
195.176.3.2, 559, [559], {559}, 240.55208333333334
2001:4860:0:110e::1, None, [15169], {15169}, 59.65909090909091
54.239.108.53, 38895, [16509], {0, 16509}, 246.0
2001:4860:1:1:0:1935:0:ae, None, [15169], {15169, 6453}, 61.0
209.85.241.231, 15169, [15169], {15169}, 250.16447368421052
85.29.131.26, 197556, [35168], {35168, 0, -462, 21299}, 48.610328638497656
108.170.244.173, 15169, [15169], {35280, 15169, -285}, 247.52272727272728
2001:4858:b16:b00b:b4be::17, None, [32097], set(), nan
2001:4478:1:1::296, None, [4802], set(), nan
2001:4478:1:1::60f, None, [4802], {15169, 4802}, 60.71666666666667
105.16.13.125, None, [37100], {37100}, 244.0
108.170.248.146, 15169, [15169], {29632, 15169, 0, 31272, -809, 15772}, 252.0
85.236.200.101, 33843, [33843], set(), nan
216.66.84.197, None, [6939], {15169, 198089, 6939}, 62.0
2001:13c7:600a:232::158, None, [52376], {52376, 15169, -88, -89}, 54.12244897959184
112.188.32.89, None, [4766], set(), nan
2001:4860:0:1::f31, None, [15169], {15169}, 60.0
185.24.168.46, None, [60876], set(), nan
210.124.243.18, 17614, [3786], {3786, 4766}, 235.0
62.115.121.221, 1299, [1299], {1299}, 239.5
213.183.64.22, None, [15945], set(), nan
64.86.113.6, 6453, [6453], {15169, 6453}, 244.0
2001:5a0:2e00::d, None, [6453], {6762, 6453}, 59.0
203.174.85.106, None, [38001], {38001, -396, -43, -239}, 49.971830985915496
2001:4860:0:12e5::5, None, [15169], {15169, -186}, 61.76190476190476
192.168.86.1, None, [0], {0, 15169}, 63.0
2001:938:2::1:1, None, [8437], set(), nan
110.93.252.191, None, [0], {0, 15169}, 243.0
89.149.185.58, 4436, [3257], set(), nan
108.170.244.199, 15169, [15169], {15169, -285, -250, -23, 20144, 62000, 35280, 44788}, 247.69108280254778
213.192.184.74, 6667, [6667], set(), nan
2a01:4a0:1338:151::2, None, [201011], {1273, 201011}, 58.0
10.10.2.129, None, [0], set(), nan
180.149.95.157, 45204, [45204], {45204}, 241.5
84.116.139.126, 6830, [6830], {6830}, 241.5748502994012
108.170.253.68, None, [15169], {15169, -186}, 251.168776371308
2001:7b8:0:102::1, None, [12859], set(), nan
2403:7800:1000:1210:1820:2100:11:247, None, [10010], {10010}, 61.0
52.93.101.56, 16509, [0], {0}, 238.0
64.46.15.1, None, [40029], set(), nan
102.130.49.3, None, [328383], set(), nan
2001:7c0:3:b104::, None, [553], set(), nan
221.183.55.102, 9808, [9808], {9808, 58453}, 241.0
83.219.200.86, None, [29518], {15169, 29518}, 254.0
2804:a8:2:b0::19a, None, [4230], {4230}, 54.0
89.149.137.53, 4436, [3257], {15169, 3257}, 245.5
2001:8d8:0:2::11e, None, [8560], set(), nan
2001:4860::8:4000:d325, None, [15169], {15169}, 58.0
10.111.111.85, None, [0], set(), nan
145.145.17.88, 1103, [1103], {1103}, 243.5
80.249.208.247, 15169, [-23], {0, 33796, 3333, 15879, 24586, 8587, 3223, 39704, 286, 50343, 34087, 16298, 43437, 16302, 1200, 15542, 31673, 14907, 12859, 41405, 25151, 15169, 24642, 42184, 1101, 42707, 29396, 36692, 43350, 8283, 197219, 199139, 21221, 43366, 56550, -23, 39923, 1140, 20473}, 252.43119127008185
2a00:d78:0:ff:193:176:144:89, None, [1140], {15169, 1140}, 63.0
84.255.250.38, 34779, [34779], {34779}, 252.0
76.246.9.142, None, [7018], {7018}, 47.46067415730337
105.22.45.90, None, [37100], {42473, 37100}, 244.0
2001:218:2000:5000::2c2, None, [2914], {0, 2914}, 53.0
74.125.245.209, None, [15169], {15169, 3491, 10474, -533, -398}, 250.92407809110628
195.91.164.78, None, [8331], {8331}, 252.0
89.149.139.217, 4436, [3257], set(), nan
2a07:6b40:0:320::f2, None, [559], {559}, 54.0
217.239.52.10, 3320, [3320], {3320, 15169}, 250.6
91.206.52.223, None, [-755], {0, 199554, 20612, 9092, 42760, -755, 12307, 59414, 15517, 201505, 21040, 24889, 28859, 58299, 15169, 30786, 58057, 196810, 49867, 48971, 28875, 15576, 15716, 198249, 205678, 8302, 59890, 61174, 29691}, 252.60158066015808
109.236.95.230, None, [49981], set(), nan
52.94.35.80, 16509, [16509], {16509}, 241.0
200.115.95.153, None, [52376], {52376, 15169, -90}, 245.0
103.6.131.225, 57463, [41095], set(), nan
2806:1016:4:78aa:a6b1:e9ff:fe9b:11b3, None, [8151], set(), nan
74.125.245.242, None, [15169], {15169, -934}, 249.0
108.170.245.66, None, [15169], {15169, -934, -764, -506}, 251.61731493099123
195.34.53.57, 8359, [8359], {8359}, 232.5
31.13.183.189, 49673, [24811], {15169, 24811, 49673}, 48.1875
87.245.236.129, 39063, [9002], {9002, 39063}, 52.96907216494845
88.157.177.85, None, [2860], set(), nan
213.155.136.20, 1299, [1299], {1299, 60781}, 243.0
119.110.114.54, None, [45147], {1299, 45147}, 240.0
64.230.53.46, None, [0], set(), nan
2404:138:33:252::2, None, [38022], set(), nan
2620:10a:80ab::48, None, [394354], {15169, 394354}, 61.0
2001:4478:1::41, None, [4802], set(), nan
2401:4900:d0:4001::202, None, [0], {0}, 53.0
10.100.0.22, None, [0], set(), nan
2a01:3e0:ff20::8, None, [6453], {15169, 6453}, 59.13559322033898
108.170.252.70, 15169, [15169], {0, 15169, 20676}, 245.84615384615384
2003:0:1101:2410::2, None, [3320], set(), nan
216.239.47.126, 15169, [15169], {15169}, 248.0
212.1.242.121, None, [12714], {15169, 12714}, 252.44444444444446
52.93.44.157, 16509, [0], {0}, 243.0
108.170.246.179, None, [15169], {8560, 15169, 0}, 247.55555555555554
2001:728:0:5000::dda, None, [2914], {2914}, 61.0
66.218.0.1, 22727, [22727], set(), nan
108.170.248.69, 45566, [15169], {15169, 34309, -210}, 247.71844660194174
195.122.0.62, None, [12578], set(), nan
95.59.172.15, 9198, [9198], {15169, 50482, 9198}, 251.08830328247805
2a00:bc00:0:7::1, None, [31272], {31272, 15169}, 63.0
