2001:5a0:1500:300::16, None, [6453], {2860, 6453}, 53.0
62.104.199.9, 5430, [5430], {1299, 5430}, 248.0
2408:8000:2:65e::, None, [4837], {4837}, 56.0
212.45.60.49, 12414, [12414], {12414}, 244.0
62.115.160.129, 1299, [1299], set(), nan
2804:3b0:8000:0:172:24:160:246, None, [53062], {53062}, 214.0
2001:470:0:165::2, None, [6939], {6939, -193}, 57.666666666666664
85.214.0.33, 6724, [6724], {6724}, 252.0
2001:7f8::50a7:0:1, None, [-207], {-207, 6939, 20647}, 58.5
2a00:c38::39, None, [15576], {15576, -150}, 62.0
2600:2600:0:20::2:17, None, [33362], {33362}, 56.0
199.229.255.37, None, [46562], {46562, 174}, 250.0
54.239.43.206, 16509, [0], {0, 16509}, 231.8
2001:688:0:2:3::95, None, [5511], {39010, 5511}, 52.981818181818184
2001:1900:2::3:9b, None, [3356], {3356}, 49.0
170.238.232.149, None, [37468], {37468}, 243.0
2001:8000:0:2000:3002:4002:0:a, None, [1221], {1221}, 57.0
2a03:90c0:10:1:214::125, None, [199524], {-576, 2914, 199524}, 56.79396984924623
213.212.129.68, 12779, [12779], {12779}, 55.4
2001:550:0:1000::9a36:399e, None, [174], {174}, 54.82672233820459
2a01:578:0:9004::2c, None, [16509], {16509}, 41.0
2400:6500:0:1::64, None, [38895], {2914, 38895}, 57.0
2403:e800:e802:7::1, None, [4637], {-252, 4637}, 58.0
89.46.125.50, None, [49697], {39912, 49697, 206479}, 56.41803278688525
63.217.112.146, None, [3491], {23520, 3491}, 247.8738621586476
2001:470:0:33a::2, None, [6939], {6939, 701}, 60.0
2a00:800:0:1::74:2, None, [1257], {1257, 13127}, 57.0
133.208.191.24, 2518, [2518], {-390, 2518}, 251.0
221.176.24.57, 9808, [9808], {9808}, 242.0
2a02:16a8:5404:200::11, None, [5404], {201011, 5404, 1764}, 54.6
2a05:3400:100:1::180, None, [200675], {200675}, 52.989583333333336
2403:5800:1600:4::1, None, [4764], {2914, 4764}, 55.84662576687116
212.53.201.215, None, [8893], {1299, 8893}, 51.736979166666664
2001:504:0:2:0:1:5169:1, None, [-235], {15169, 14907, -235}, 63.0
2001:7f8:1::a500:1273:1, None, [-150], {1273, -150, 14907}, 63.0
91.132.8.99, None, [0], {0, 205678}, 52.8
184.105.81.102, 6939, [6939], {-262, 6939}, 62.0
2a02:2d8::57f5:e0ac, None, [9002], {-794, 202023, 9002, -437, -150, -910, -235, 3356}, 55.7906976744186
213.46.160.86, 6830, [6830], {6830}, 245.0
2a01:578:0:ff::7, None, [16509], {-150, 16509}, 60.0
200.8.18.1, None, [0], {0, 3549}, 243.0
2001:7f8::a4c8:0:1, None, [-207], {42184, -207, 6939}, 58.9375
66.198.127.1, 6453, [6453], {1299, 6453, 174}, 240.1
2620:0:1cff:dead:beef::1c7a, None, [32934], {32934}, 61.0
4.69.141.154, 3356, [3356], {2914, 3356, 3549}, 56.03846153846154
27.111.228.17, 8966, [-254], {-254, 14907, 8966}, 254.0
2001:1291:1002:8d::b, None, [16735], {16735}, 53.0
195.229.27.178, 35753, [8966], {8966}, 243.98611111111111
2a02:8400:0:3::8a4, None, [15557], {1299, 15557}, 53.0
2001:868:0:4::8:1, None, [12731], {1299, 12731}, 53.95854922279793
54.239.123.11, 16509, [16509], {0, 16509}, 237.5
2620:0:1cff:dead:bef0::4b5, None, [32934], {174, 32934}, 56.0
2001:470:0:3da::2, None, [6939], {-239, 6939, -43}, 59.0
129.250.2.89, 2914, [2914], {2914}, 247.49222797927462
213.248.100.106, 852, [1299], {0, 1299, 852}, 244.33333333333334
212.179.124.125, 8551, [8551], {-207, 8551}, 234.93684210526317
62.140.243.23, 28917, [28917], {6939, 28917}, 241.0
2a01:7c8:3628::ad1a:5, None, [20857], {20857}, 52.25
203.208.153.110, 7473, [7473], {7473}, 246.0
212.74.65.37, 8220, [0], {0, -23, -254, 8220}, 252.0
2003:0:8a04:e800::1, None, [3320], set(), nan
64.124.85.118, None, [6461], {47074, 6461}, 247.0
203.234.255.194, 9457, [4766], {9457, 4766}, 245.0
184.164.151.8, None, [20454], {20454}, 52.0
62.115.9.210, 14061, [1299], {0, 1299}, 248.0
2620:107:4000:8002::65, None, [0], {0}, 51.75
2001:41a8:20::33, None, [6762], {42313, 6762, 6939}, 57.0
2001:4de0:1000:43::1, None, [12989], {0, 12989}, 59.614583333333336
204.26.60.157, None, [46786], {46786, 14907, 7366}, 254.0
52.46.94.123, 16509, [16509], {16509}, 239.0
2001:470:0:240::1, None, [6939], {-31, -254, -285, 16347, -250, 8473, -150, 39180, 174, 35280, 29075, 2613, 45494, 14907, 43930, 6939, 29405, 20766}, 61.0
2001:1af8:4100:0:81:17:32:235, None, [60781], {0, 2914, 1299, 60781}, 54.869791666666664
2001:688:0:2:8::12d, None, [5511], {5511}, 56.0
52.95.60.122, 16509, [0], {0, 1299, 16509}, 243.0
2800:160:1:90::10:de20, None, [14259], {14259, 262589}, 52.0
2620:107:4000:2210:8000:0:340f:1f, None, [0], set(), nan
154.54.7.173, 174, [174], {1299, 174}, 250.0
82.197.136.21, 13237, [13237], {-23, 13237}, 253.0
2001:470:0:1b4::1, None, [6939], {6939, 2852, -541}, 59.0
63.223.51.98, 3491, [3491], {14907, 3491}, 251.0
2804:300:0:10b5::1, None, [0], {0}, 49.0
2800:a2:0:1::5, None, [6057], {6057, 2914, 1299}, 52.809338521400775
180.254.24.1, None, [17974], {17974}, 53.0
2001:4b27:ffff::4, None, [34288], {34288, 1299}, 48.5
2001:7f8:36::bab2:0:1, None, [-189], {6939, 47794, -189}, 58.330935251798564
213.248.87.179, 8943, [1299], {1299, 8676}, 246.0
23.49.60.135, 20940, [20940], {14907, 20940}, 58.0
12.123.26.41, 7018, [7018], {7018}, 247.0
2001:470:0:190::1, None, [6939], set(), nan
2406:9b80:4001:6::2, None, [132585], {132585, 4515}, 53.0
52.93.144.31, None, [0], {0}, 238.0
2001:550:0:1000::9a36:2a4e, None, [174], {199524, 9158, 27817, 174, 20150, 2108}, 55.54803788903924
4.69.218.110, None, [3356], {-254, 3356, 3549}, 62.0
52.93.6.200, None, [0], {0}, 225.0
188.254.26.231, None, [12389], {-23, 12389}, 253.0
83.167.55.235, None, [8218], {8218}, 240.0
185.176.72.76, None, [29405], {29405}, 245.0
2a03:4680:1::d540:2, None, [25184], {25184, -207, 200612, 5511}, 52.879003558718864
2001:558:3:2f::1, None, [7922], {7922, 6939}, 59.0
2001:470:0:329::2, None, [6939], {6939}, 56.74792243767313
2607:f380::118:9a40:b171, None, [2152], {2152, 2153, 6939}, 58.0
240e:0:a::cb:3ae5, None, [4134], {1299, 4134}, 52.0
80.231.217.5, 6453, [6453], {6453}, 243.98958333333334
2001:550:0:1000::9a36:5902, None, [174], {174}, 53.0
2a02:27b0:1::17e, None, [9146], {9146}, 243.96875
77.220.238.211, 42699, [42699], {42699, 3356, 13237, 21413}, 245.0
105.16.13.193, None, [37100], {37100}, 243.51388888888889
60.199.4.178, 24158, [9924], {9924}, 243.0
62.115.114.248, 1299, [1299], {1299}, 250.0
2604:9000:0:1006::1, None, [19693], {19693}, 57.0
17.253.3.210, None, [6185], {6185, 714}, 61.0
180.87.37.9, 6453, [6453], {6453}, 247.0
52.93.6.192, None, [0], {0}, 227.0
2001:df5:b800:bb00:0:4:1095:2, None, [-42], {6939, -42, 41095}, 57.5
185.194.164.124, None, [43930], {43930, 29075, 174}, 53.6
149.6.128.25, None, [174], set(), nan
2607:f4d0::145, None, [17054], {7922, 17054}, 54.0
64.86.123.114, 6453, [6453], {6453}, 247.0
185.47.192.253, None, [50168], {50168, 0, 42708}, 48.775
2001:438:ffff::407d:1c77, None, [6461], {6461}, 58.0
52.95.2.223, 16509, [16509], {16509}, 239.33333333333334
2001:688:0:2:8::2a8, None, [5511], {5511}, 58.0
2001:1291:0:176::b, None, [16735], {16735}, 48.0
2600:80a:2::11, None, [701], {1299, 701}, 57.0
202.158.194.172, 7575, [7575], {6461, -162, 7575}, 246.75
2001:470:0:270::1, None, [6939], {-247, 6939}, 58.0
144.121.128.150, 46887, [46887], {46887}, 245.0
2001:558:1c0:90::2, None, [7922], {7922}, 51.0
2620:107:4000:9002::8, None, [0], {0}, 35.0
194.154.192.206, 200129, [6661], {200129, 6661}, 246.0
2001:470:0:46c::2, None, [6939], {-256, -342, 6939}, 61.0
197.149.151.3, 37468, [37468], {37468}, 241.0
2001:240:bb00:a041::10f, None, [2497], {2497, 1299}, 57.0
80.249.211.84, 20764, [-23], {-23, 14907, 20764}, 254.0
2001:418:0:2000::2c5, None, [2914], {2914}, 60.0
2804:2bdc:0:1::1f, None, [265181], {265181, 174}, 54.0
2402:800:1110:80::1, None, [7552], {7552, 1299}, 57.0
2620:107:4000:8002::e6, None, [0], {0}, 58.0
2001:4540:3100:165::3, None, [9924], {9924}, 50.0
217.239.45.194, 3320, [3320], {3320, -23}, 252.0
2a01:578:0:4502:8000:0:6442:9d, None, [16509], {16509}, 45.0
62.115.137.37, 1299, [1299], {1299}, 252.0
9.103.125.95, None, [0], {0, 132203}, 246.0
2001:798:cc::1e, None, [20965], {20965}, 52.93684210526316
193.95.129.128, 2110, [2110], {5400, 2110}, 241.33333333333334
2403:5800:1801:c::1, None, [4764], {9002, 14907, 4764, -254}, 58.958333333333336
173.255.239.19, 63949, [63949], {0, 1299, 63949}, 248.6
139.162.27.28, None, [63949], {63949}, 56.4
193.251.151.2, 5511, [5511], {0, 1299, 5511}, 248.79253112033194
146.185.214.58, None, [202422], {2914, 174, 202422}, 53.2
212.25.77.21, 8551, [8551], {8551}, 242.0
199.119.65.55, None, [57695], {57695}, 54.18958333333333
206.30.161.1, None, [26225], {26225, 3356}, 243.0
2606:7c80:3375:50::27, None, [-197], {6939, -197, 668}, 60.0
147.87.255.72, None, [559], {559}, 53.0
2a01:2b0:2000:98::2, None, [12552], {12552, 51815}, 55.0
182.74.20.77, None, [9498], {0, 9498}, 244.0
107.162.25.82, None, [55002], {55002, 46830}, 245.0
185.66.148.244, None, [3212], {6939, 3212}, 247.0
154.54.24.221, 174, [174], {174}, 247.9940828402367
2404:f000:0:a02::1, None, [18001], {-191, 18001}, 54.0
206.82.135.106, 1403, [6453], {1403, 6453}, 250.0
2804:1a04:0:3::175, None, [61832], {61832}, 52.0
2001:7f8::322b:0:2, None, [-207], {-207, 12843, 6939}, 58.9375
197.80.5.6, 10474, [10474], {10474}, 240.02061855670104
180.87.37.64, 6453, [6453], {6453}, 243.0
193.164.153.250, None, [34019], {34019}, 251.0
154.54.43.13, 174, [174], {2914, 174}, 249.9948119325551
186.211.164.42, None, [14840], {14840, 6762, 263466}, 243.0
176.61.141.1, 57858, [57858], {57858, 1299}, 57.0
62.115.153.129, 8708, [1299], {48112, 1299, 60149}, 241.17857142857142
2a00:1f78:af:c003::2, None, [8893], {-150, 14907, 8893}, 62.0
2607:f518:1::1:9079:2325, None, [46887], {3356, 46887}, 45.0
210.23.0.234, 4844, [4844], set(), nan
216.239.57.196, 15169, [15169], {15169}, 247.0
212.188.29.26, 8359, [8359], {8359}, 236.37860082304528
52.95.2.220, 16509, [16509], {16509}, 230.28571428571428
2804:3f20:80::34, None, [266641], {266641}, 51.0
2a00:1cb8:1::e6, None, [12713], set(), nan
62.219.189.2, 8551, [8551], {8551}, 244.0
2001:470:1:898::2, None, [6939], {6939}, 57.0
65.83.239.64, 7018, [6389], {7018, 6389}, 240.0
2001:728:0:5000::142a, None, [2914], {50056, 2914}, 55.0
213.239.245.249, 24940, [24940], {-270, 24940}, 247.0
2001:470:0:3f5::2, None, [6939], {6939, -254, 39405, 45494, 14907}, 62.0
2620:107:4000:9000::39, None, [0], {0}, 50.1
2607:f798:10:b038:0:2091:4823:3110, None, [812], {812}, 55.0
52.93.14.32, 16509, [0], {0}, 242.5
2620:107:4000:9::54, None, [0], {0}, 50.0
2600:80a:16f::96, None, [701], {4837, 701}, 53.0
2001:4498:4:1::6, None, [24218], {24218}, 60.0
154.54.40.109, 174, [174], {174}, 247.4433923425278
2a00:e90::212:200:6:60, None, [8400], {8400, -566, 1299}, 52.997899159663866
2a01:7c8:f:43::2, None, [20857], {20857}, 55.0
204.148.79.149, None, [701], {0, 2914, 701}, 253.0
2001:67c:2e8:3::c100:b0, None, [3333], {-150, 3333}, 56.6
72.52.92.74, None, [6939], {6939}, 59.190871369294605
240e:109:8000:3::3, None, [58519], {4134, 58519}, 46.0
2401:c080:1400:4786:5400:1ff:fee6:f858, None, [20473], {0, 20473}, 54.8
41.202.226.2, 36991, [36991], {36997, 36991}, 235.80208333333334
2a07:a40:101:1337::2, None, [48821], {48821}, 53.2
87.245.233.230, 9002, [9002], {9002, -437}, 239.0
2404:6800:4005:808::2004, None, [15169], {15169}, 57.0
64.125.28.196, 6461, [6461], {6461}, 241.0
2a01:5b0:4::6, None, [8561], {8561, 36236}, 58.0
2a00:1a90:0:a::2, None, [45014], {2914, 45014}, 50.24742268041237
154.54.39.218, 174, [174], {174}, 247.0
2001:7f8:58::260:3:1, None, [-77], {6939, -77, 197216}, 55.7578125
185.173.16.210, None, [48112], {48112, -23}, 52.0
154.25.3.18, 174, [174], {174}, 244.0
92.38.129.121, None, [199524], {199524, 20485, 12389, 8359}, 50.9625
64.71.163.70, None, [6939], {206186, 6939}, 57.202083333333334
217.124.112.38, 3352, [3352], {3352}, 245.0
89.47.224.90, 15471, [39737], {39737, 1299, -23, 15471}, 249.0
2a01:578:0:9003::3c, None, [16509], {16509}, 44.0
2a00:dd80:9:2::1:2, None, [36236], {2914, -437, 36236}, 57.8
2001:2000:3080:1424::2, None, [1299], {1299, 7843}, 60.0
2001:4860:0:eae::2, None, [15169], {15169, -235}, 62.0
2620:0:862:fe02::2, None, [14907], {1299, 14907}, 64.0
193.135.150.58, None, [2613], {6893, 2613}, 50.63333333333333
fe80::5e45:270f:fc5e:c00f, None, [0], {0, 8708}, 53.7875
37.111.63.2, None, [0], {0, 2914, 134739}, 245.0
195.22.197.143, None, [6762], {-23, 6762}, 253.0
2620:107:4000:9002::1, None, [0], {0}, 36.833333333333336
2a02:28:1::119:2, None, [8359], {199524, 8359}, 55.0
2a02:c98:107:109::107, None, [48918], {-270, 6939, 48918}, 49.048780487804876
213.52.81.218, None, [2116], {57963, 1299, 2116, 3356}, 248.4
143.56.224.154, None, [668], {-238, 668, 2914}, 58.0
2620:107:4000:2000::15e, None, [0], {0}, 48.857142857142854
129.250.4.126, 2914, [2914], {2914}, 245.8
116.51.31.118, 17557, [2914], {2914, 45595}, 245.0
2001:df2:e500:fe05::2, None, [14907], {2914, 14907, 6453}, 64.0
212.156.101.59, 9121, [9121], {3320, 9121, -207}, 54.302083333333336
52.95.31.37, 38895, [16509], {16509}, 234.0
12.122.149.134, 7018, [7018], {7018, 6461}, 245.0
46.234.28.97, 15924, [15924], {1273, 15924}, 242.0
2001:578:1:0:172:17:248:161, None, [22773], {6939, 22773}, 57.0
52.93.134.157, None, [0], {0}, 241.7826086956522
2001:418:0:2000::79, None, [2914], {2914}, 60.0
213.254.231.110, 4436, [3257], {3257, 1299}, 242.5449101796407
5.178.43.214, None, [6762], {-23, 6762}, 249.0
2001:720:400::1000:32, None, [766], {766}, 56.75
84.32.142.178, 25406, [33922], {33922, 6939, 25406}, 51.0
2001:418:0:2000::16d, None, [2914], {2914}, 55.4559585492228
2001:418:0:2000::2a5, None, [2914], {2914}, 57.0
208.80.154.194, None, [14907], {0, 36236, 1299, -235, 14907}, 255.0
2001:4860::c:4000:d8d3, None, [15169], {15169}, 60.0
2001:470:0:432::2, None, [6939], {6939}, 57.0
52.46.93.38, 16509, [16509], {16509}, 244.0
2001:ac8:37:18::beef, None, [9009], {0, 9009}, 52.18958333333333
130.117.48.157, 174, [174], {174}, 248.89473684210526
129.250.4.151, 2914, [2914], {2914}, 251.0
2408:8000:2:7a3::1, None, [4837], {4837}, 59.0
171.64.255.141, None, [32], {32, 2152}, 245.0
200.230.220.37, 4230, [4230], {6453, 4230}, 243.0
192.35.202.242, 63056, [53610], {63056, 53610, -230, 174}, 248.0
77.222.144.26, 21219, [21219], {21219, 3326}, 245.0
2c0f:f0a8:0:32:8145:30:999:2, None, [328145], {328145, -533, 30999}, 53.0
62.115.137.41, 1299, [1299], {1299}, 248.96945898778358
120.29.217.2, 2518, [6453], {6453, 2518}, 250.0
4.68.63.37, 4323, [3356], {3356, 6461}, 249.99310344827586
154.54.24.222, 174, [174], {174}, 248.14074074074074
154.25.3.90, 174, [174], {174}, 245.5
68.87.147.78, 7015, [7922], {7922}, 55.0
2a02:f28::2:36:1, None, [20647], {1299, 20647}, 54.0
2001:418:0:2000::1d3, None, [2914], {2914}, 58.0
94.142.103.5, 6147, [12956], {12956}, 243.0
2a03:d000:27c0::3:7, None, [31133], {35168, 31133}, 54.93292682926829
94.186.200.123, None, [48918], {48918}, 242.75
2001:240:bb00:9087::18f, None, [2497], {2497}, 58.0
203.219.107.194, 2764, [7545], {7545, 2764, 9942}, 247.0
80.249.208.247, 15169, [-23], {15169, -23, 14907}, 254.0
221.163.99.22, 9524, [4766], {4766}, 244.0
2001:7f8:87::3, None, [-51], {197451, 2852, -51}, 47.0
2001:7f0:1:c::3, None, [13237], {8763, 13237}, 54.60769230769231
2405:ec00:8000:1::2f0:0, None, [23955], {-254, 23955}, 62.0
2001:2000:3080:18cb::2, None, [1299], {0, 1299}, 53.0
212.188.29.138, 8359, [8359], {8359}, 233.5
182.162.152.214, 3786, [3786], {3786}, 245.0
2a02:10:1:1::8:10, None, [24785], {24785, -150, 42093}, 62.0
178.210.33.73, None, [43727], {0, 9198, 43727}, 243.0051948051948
203.208.151.93, None, [7473], {7473, 2914}, 247.0
63.223.33.106, 3491, [3491], {3491}, 252.0
2001:12f8::4, None, [-668], {1916, 0, 6939, -668}, 58.333333333333336
193.251.151.17, None, [5511], {3320, 0, 5511}, 251.0
2a03:1b20:1:fe05::2, None, [39351], {39351}, 50.0
2001:1498:1::32:36, None, [12956], {-150, 12956}, 54.01030927835052
2001:550:0:1000::9a36:1fe2, None, [174], {199524, 9158, 5511, -566, 51790, 174}, 57.0
2a03:d000:2000::34, None, [31133], {6939, 6461, 31133}, 42.3051948051948
2402:800:1110:103::1, None, [7552], {7552, -254}, 55.0
2001:728:0:2000::1b6, None, [2914], {2914}, 59.0
2a01:a940:445:d::1, None, [15954], {15954}, 54.2
129.250.202.94, 1916, [2914], {0, 2914}, 247.00130039011702
216.239.50.209, 15169, [15169], {15169}, 248.13333333333333
2001:4860:0:1::25a5, None, [15169], {15169}, 56.0
2620:0:1cff:dead:beef::350c, None, [32934], {32934}, 57.0
2001:4403:118::1, None, [9901], {9500, 9901}, 57.0
208.115.136.138, None, [-230], {-230, 14907, 32244, 6461}, 248.0
150.222.112.234, None, [0], {0}, 242.0
52.95.2.122, 16509, [16509], {0, 16509}, 231.375
213.128.159.13, 12731, [12731], set(), nan
2c0f:fc00:0:6::94, None, [3741], {-533, 3741}, 53.0
179.31.62.5, None, [6057], {6057, 2914, 1299}, 241.5012987012987
154.206.78.1, None, [37353], {37353, 134705}, 51.0
138.197.251.197, 14061, [0], {0, 14061}, 243.0
2a00:ce0:0:1::172, None, [8553], {8553}, 55.0
2620:107:4000:9001::d, None, [0], {0}, 43.63636363636363
2001:418:0:5000::c49, None, [2914], {2914, 15133}, 58.0
2001:728:0:5000::1452, None, [2914], {9121, 2914}, 58.0
180.87.38.126, 6453, [6453], {6453}, 240.9740932642487
173.208.122.7, None, [7203], {0, 7203, 6461}, 57.0
2604:6840:1000::2d, None, [0], {0, 12989}, 55.01030927835052
185.176.72.71, None, [29405], {1299, 29405}, 246.5
96.1.216.184, None, [0], {0, 1299}, 245.30769230769232
23.57.99.243, 32787, [32787], {0, 1273, 32787}, 251.0
2a01:578:0:9003::2b, None, [16509], {16509}, 43.333333333333336
213.239.229.70, 24940, [24940], {24940}, 244.02631578947367
216.66.93.66, 20764, [6939], {6939, 20764}, 240.0
2001:470:1:545::2, None, [6939], {7545, 6939}, 57.935483870967744
212.162.40.62, 21473, [3356], {21473, 2914, 1299, 3356}, 240.25
2001:2000:3080:a9a::1, None, [1299], {174, 44239, 7922, 1299, 2518, 3257, 14907, 17054}, 63.0
195.42.144.153, 2486, [-250], {13030, 2486, -250}, 250.0
168.209.100.109, 3741, [3741], {-437, 3741}, 249.0
195.22.208.117, 6762, [6762], {-23, 6762, 1299, 199524}, 249.5
176.122.123.169, 50581, [50581], {50581}, 250.0
116.213.23.111, None, [55569], {55569, 2914}, 53.0
185.37.144.142, None, [34549], {0, 201011, 1299, 34549, 3320}, 51.7375
2404:6800:4005:803::2004, None, [15169], {15169}, 57.0
52.94.33.0, 16509, [16509], {16509}, 241.5
2001:de8:8::7500:1, None, [-396], {-254, 6939, -396, 7500}, 61.0
2a02:4620::1, None, [3303], {3303}, 53.0
2a0b:4342:1a91:15::, None, [57695], {-533, 57695}, 56.8
194.79.137.169, 13193, [13193], {13193, -23}, 244.0
2001:1900:5:2:2::6032, None, [3356], {3356}, 49.0
84.116.191.118, 6830, [6830], {60316, 6830}, 240.11818181818182
77.20.217.1, None, [31334], {31334}, 47.0
176.52.248.152, None, [12956], {12956}, 249.0
2001:7f8:1::a501:6347:1, None, [-150], {-150, 14907, 16347}, 63.0
2001:270:ffff:42:172:30:7:121, None, [0], {0, 2914}, 53.0
2001:4b27:ffff::6, None, [34288], {34288}, 46.5
208.115.136.182, None, [-230], {6185, -230, 14907, 714}, 249.0
2001:c10:80:1::39d, None, [7473], {3257, 7473, 1299}, 58.0
41.100.192.1, None, [36947], {36947, 174}, 240.0
91.201.124.1, None, [50673], {50673}, 249.0
54.240.229.217, 16509, [16509], {0, 14618, 16509}, 240.0
144.232.15.246, 1239, [1239], {1239}, 251.0
59.154.142.42, 7474, [7474], {7473, 7474}, 246.0
2600:0:2:1239:144:232:13:193, None, [1239], {1239}, 59.0
62.115.125.190, 1299, [1299], {1299}, 246.60759293017358
2804:a8:2:98::4e, None, [4230], {28573, 4230}, 53.0
108.179.23.121, 6128, [6128], {6128, 6830}, 242.0
2c0f:fc00:2:37::2, None, [3741], {-533, 3741}, 55.22222222222222
2001:558:0:f572::2, None, [7922], {7922, 6939}, 57.0
2a02:5060:4::2, None, [60144], {60144, -150}, 61.0
154.16.195.1, None, [49981], {49981}, 48.0
2001:550:0:1000::8275:3242, None, [174], {174}, 58.0
2001:1900::3:171, None, [3356], {3356}, 60.0
2001:5000:0:2d::2, None, [1273], {1273}, 57.0
184.105.65.46, 6939, [6939], {6939}, 58.0
2001:8c0:101::b81, None, [2116], {2116}, 55.5
190.15.96.14, None, [61568], {61568, 262521, 6762}, 242.0
200.170.81.41, None, [22356], {13331, 22356}, 244.0
77.67.123.206, 2200, [3257], {2200, 3257}, 243.0
80.249.210.135, 25091, [-23], {25091, -23, 14907}, 245.0
138.197.251.195, 14061, [0], {0, 2914}, 248.0
2403::624, None, [4755], {4755, 6453}, 49.0
195.2.31.14, 1273, [1273], {1273}, 246.28846153846155
50.115.90.82, None, [0], {0, -236}, 60.0
130.244.195.33, 1257, [1257], {1257}, 244.0
62.115.135.187, 1299, [1299], {1299, 199524}, 250.0
2001:438:ffff::407d:18e1, None, [6461], {6461}, 62.0
2a02:2178:0:7b::1, None, [29075], {43930, 29075}, 54.0
195.22.199.39, None, [6762], {6762, 52468}, 245.0
2800:630:1010:6::1, None, [7049], {7049, -668}, 53.0
196.10.53.7, None, [37474], {37474, 3741}, 51.15208333333333
2001:438:ffff::407d:1ec1, None, [6461], {6057, 6461}, 56.0
2001:7f8:14::26:1, None, [-541], {6939, -541, 20144}, 55.0
96.110.32.214, None, [7922], {7922}, 249.0
2001:7f8:1::a500:8763:1, None, [-150], {8763, -150, 14907}, 58.0
62.115.48.187, 34288, [1299], {34288, 1299}, 241.33333333333334
2001:1900:2100::2a5a, None, [3356], {3356, 46887}, 53.0
2a01:5b0:0:29::1, None, [8391], {13237, 8391}, 49.0
95.131.96.69, None, [12897], {0, 12897, 14907}, 252.0
2803:1300::e:0:311:11, None, [52263], {23520, 52468, 52263}, 55.0
198.32.118.16, 6327, [-264], {-264, 13030, 6327}, 249.0
2001:7f0:4000::362, None, [13237], {2914, 6939, 13237, 12374}, 54.0
131.100.186.109, 11664, [19037], {1299, 19037}, 243.0
154.54.3.134, 174, [174], {174}, 249.0
2001:7f8:1::a500:1764:1, None, [-150], {-150, 14907, 1764}, 63.0
2a00:1cb8:1::1b9, None, [12713], {42313, 12713, -150, 1299, 14907}, 59.1
86.50.255.221, None, [1741], {1741}, 233.0
80.67.4.234, None, [42708], {42708}, 244.3125
2001:550:2:2a::2c:1, None, [174], {174}, 55.0
213.51.5.1, None, [33915], {33915}, 250.0
2804:800:0:10::5, None, [16509], {6762, 16509}, 51.0
2001:7f8:1::a503:5574:1, None, [-150], {14907, -150, 6939, 35574}, 58.8
2001:7c8:bb:518::a102, None, [2110], {-340, 2110}, 47.0
221.183.55.50, 9808, [9808], {9808, 58453}, 245.0
2001:19f0:fc00::a53:4e, None, [0], {0, 20473}, 55.75
2001:6a8:a00:8015::2, None, [2611], {2611}, 50.79331941544885
2001:504:0:2::6939:1, None, [-235], set(), nan
61.120.146.86, None, [2914], {2914, 16509}, 247.25
